statistic,value
region,Saudi Arabia
reference_year,2026
n_dams_summary,504
n_dams_failed_pipeline,24
n_dams_with_params,526
n_params_source_srtm_derived,322
n_params_source_regi_multi,204
capacity_total_mcm,2437.346983
capacity_median_mcm,0.4466215
capacity_p05_mcm,0.07047500000000001
capacity_p95_mcm,10.0
capacity_max_mcm,325.0
n_cap_above_5mcm,42
n_cap_above_25mcm,14
n_cap_above_100mcm,5
n_cap_below_1mcm,371
construction_year_min,1955
construction_year_median,2008
construction_year_max,2020
n_pre_1980,39
n_1980_2000,139
n_2000_2010,137
n_post_2010,168
n_year_unknown,21
dam_height_median_m,10.5
dam_height_max_m,87.0
n_trusted,322
b_median,1.5019300938982547
b_p16,1.248688859147795
b_p84,1.777768677839083
b_sigma,0.2645399093456441
b_p05,1.1086002525844079
b_p95,2.0953988041394935
b_min,0.8839420202184297
b_max,2.497928788885115
loglog_n,322
loglog_alpha,-1.2728816289435367
loglog_beta,0.7211267631148566
loglog_resid_rms,0.5295053829551034
fill_n,282
fill_median,0.17942363896696628
fill_p16,0.03163454001774589
fill_p84,0.48469069702450934
fill_p95,0.721411127085369
fill_n_above_half,45
sediment_sdr_model,none_yield_is_delivered
sediment_n,483
sediment_bulk_density,1.3
sediment_loss_median,0.4746008144923875
sediment_loss_p16,0.12221360792599617
sediment_loss_p84,1.0
sediment_n_loss_above_50pct,233
sediment_n_fully_silted,149
sediment_n_filled_in,149
loo_sat_anchor_n,322
loo_sat_anchor_median_log10,0.9826869343202528
loo_sat_anchor_p16_log10,0.2750355843703861
loo_sat_anchor_p84_log10,2.1658715015069183
loo_sat_anchor_sigma_log10,0.945417958568266
loo_sat_anchor_mae_log10,1.2327568856406086
loo_sat_anchor_rmse_log10,1.5661851898601893
loo_sat_anchor_within_2x_frac,0.16770186335403728
loo_sat_anchor_within_3x_frac,0.2484472049689441
loo_sat_anchor_within_10x_frac,0.5062111801242236
loo_loglog_anchor_n,322
loo_loglog_anchor_median_log10,0.04594287015873985
loo_loglog_anchor_p16_log10,-0.2871833938519723
loo_loglog_anchor_p84_log10,0.33454483879646235
loo_loglog_anchor_sigma_log10,0.3108641163242173
loo_loglog_anchor_mae_log10,0.24068136052241998
loo_loglog_anchor_rmse_log10,0.2987414650590817
loo_loglog_anchor_within_2x_frac,0.6614906832298136
loo_loglog_anchor_within_3x_frac,0.8881987577639752
loo_loglog_anchor_within_10x_frac,1.0
loo_multi_anchor_n,322
loo_multi_anchor_median_log10,0.0280315868020255
loo_multi_anchor_p16_log10,-0.1555327153585121
loo_multi_anchor_p84_log10,0.2034221649913095
loo_multi_anchor_sigma_log10,0.1794774401749108
loo_multi_anchor_mae_log10,0.146039959794551
loo_multi_anchor_rmse_log10,0.18341717877747157
loo_multi_anchor_within_2x_frac,0.8944099378881988
loo_multi_anchor_within_3x_frac,0.984472049689441
loo_multi_anchor_within_10x_frac,1.0
loo_multi_anchor_medape_frac,0.2817595512578839
loo_multi_anchor_relrmse_frac,0.49491027730658593
b_cluster_baseline_sigma,0.2646235371027082
b_cluster_silhouette_max,0.341732803200197
b_cluster_silhouette_min,0.2039088217836988
b_cluster_best_set,raw morphometry
b_cluster_best_k,10
b_cluster_best_sigma,0.2275564604914288
b_cluster_best_gain_pct,14.007475305151166
